Year,CRA minimum (billions),Citation,Comment
2024,1.564,88 FR 87895,May rise to 2 billion under new rule
2023,1.503,87 FR 78829,
2022,1.384,86 FR 71813,
2021,1.322,85 FR 83747,
2020,1.305,84 FR 71738,
2019,1.284,83 FR 66601,
2018,1.252,82 FR 61143,
2017,1.226,82 FR 5354,
2016,1.216,80 FR 81162,
2015,1.221,79 FR 77852,
2014,1.202,78 FR 79283,
2013,1.186,77 FR 75521,
2012,1.16,76 FR 79529,
2011,1.122,75 FR 82217,
2010,1.098,74 FR 68662,
2009,1.109,73 FR 78153,
2008,1.061,72 FR 72571,
2007,1.033,71 FR 78335,
2006,1,,
2005,1,70 FR 44256,