year,respondent_id,agency_code,activity_year,respondent_nm,respondent_addr,respondent_city,respondent_st,respondent_zip,tax_id,id_rssd,asset
2021,10,1,4,30,40,25,2,10,10,10,10
2020,10,1,4,30,40,25,2,10,10,10,10
2019,10,1,4,30,40,25,2,10,10,10,10
2018,10,1,4,30,40,25,2,10,10,10,10
2017,10,1,4,30,40,25,2,10,10,10,10
2016,10,1,4,30,40,25,2,10,10,10,10
2015,10,1,4,30,40,25,2,10,10,10,10
2014,10,1,4,30,40,25,2,10,10,10,10
2013,10,1,4,30,40,25,2,10,10,10,10
2012,10,1,4,30,40,25,2,10,10,10,10
2011,10,1,4,30,40,25,2,10,10,10,10
2010,10,1,4,30,40,25,2,10,10,10,10
2009,10,1,4,30,40,25,2,10,10,10,10
2008,10,1,4,30,40,25,2,10,10,10,10
2007,10,1,4,30,40,25,2,10,10,10,10
2006,10,1,4,30,40,25,2,10,10,10,10
2005,10,1,4,30,40,25,2,10,10,10,10
2004,10,1,4,30,40,25,2,10,10,10,10
2003,10,1,4,30,40,25,2,10,10,10,10
2002,10,1,4,30,40,25,2,10,10,10,10
2001,10,1,4,30,40,25,2,10,10,10,10
2000,10,1,4,30,40,25,2,10,10,10,10
1999,10,1,4,30,40,25,2,10,10,10,10
1998,10,1,4,30,40,25,2,10,10,10,10
1997,10,1,4,30,40,25,2,10,10,10,10
1996,10,1,4,30,40,25,2,10,10,,